Title;Type;Sell Price
Flora defender;Chemical;5,000
Seawater;Chemical;4,900
Pesticide nebulizer;Quest;0
Rocket Type C;Crafted;100
Antimatter;Quest;0
Artifact;Quest;0
Portal piece III;Quest;0
Artifact;Quest;0
Portal piece II;Quest;0
Artifact;Quest;0
Artifact;Quest;0
Artifact;Quest;0
Portal blueprint;Quest;0
Artifact;Quest;0
Sandship beacon;Quest;0
Resonators controller;Quest;0
Portal piece I;Quest;0
Antimatter II;Quest;0
Antimatter III;Quest;0
Receiver Skeleton;Quest;0
The Portal part I;Quest;0
The Portal part II;Quest;0
The Portal part III;Quest;0
Artifact;Quest;0
Minkowski's computer;Quest;0
Artifact;Quest;0
Energy transducer;Quest;0
Artifact;Quest;0
The heart;Quest;0
Nano ram;Quest;0
Radar;Quest;0
Skeleton;Quest;0
Artifact;Quest;0
Cooler X;Quest;0
Cooler VIII;Quest;0
The brain;Quest;0
Conductor I;Quest;0
Conductor II;Quest;0
Conductor III;Quest;0
Feeder;Quest;0
Federation Chipset;Quest;0
Radiometer;Quest;0
Ultra Energy Absorber I;Quest;0
Ultra Energy Absorber II;Quest;0
Ultra Energy Absorber III;Quest;0
Ultra Energy Absorber IV;Quest;0
Circuit Breaker;Quest;0
Superconductor;Quest;0
Resonator I;Quest;0
Resonator II;Quest;0
Resonator III;Quest;0
Resonator IV;Quest;0
Resonator V;Quest;0
Resonator VI;Quest;0
Resonator VII;Quest;0
Resonator VIII;Quest;0
Resonator IX;Quest;0
Resonator X;Quest;0
Cooler I;Quest;0
Cooler II;Quest;0
Cooler III;Quest;0
Cooler IV;Quest;0
Cooler V;Quest;0
Cooler VI;Quest;0
Cooler VII;Quest;0
Cooler XI;Quest;0
The portal;Quest;0
